Test Date,Borough,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,year,month
2020-07-16,Manhattan,74,29590,8266,457384,2020,7
2020-07-17,Manhattan,85,29675,7329,464713,2020,7
2020-07-18,Manhattan,56,29731,5436,470149,2020,7
2020-07-19,Manhattan,65,29796,5935,476084,2020,7
2020-07-20,Manhattan,71,29867,6705,482789,2020,7
2020-07-21,Manhattan,76,29943,7540,490329,2020,7
2020-07-22,Manhattan,90,30033,7521,497850,2020,7
2020-07-23,Manhattan,64,30097,7406,505256,2020,7
2020-07-24,Manhattan,64,30161,7262,512518,2020,7
2020-07-25,Manhattan,32,30193,4957,517475,2020,7
2020-07-26,Manhattan,57,30250,5377,522852,2020,7
2020-07-27,Manhattan,30,30280,5657,528509,2020,7
2020-07-28,Manhattan,49,30329,6548,535057,2020,7
2020-07-29,Manhattan,70,30399,7387,542444,2020,7
2020-07-30,Manhattan,59,30458,7859,550303,2020,7
2020-07-31,Manhattan,60,30518,9505,559808,2020,7
2020-08-01,Manhattan,46,30564,6825,566633,2020,8
2020-08-02,Manhattan,57,30621,6704,573337,2020,8
2020-08-03,Manhattan,56,30677,6757,580094,2020,8
2020-08-04,Manhattan,57,30734,6803,586897,2020,8
2020-08-05,Manhattan,65,30799,7634,594531,2020,8
2020-08-06,Manhattan,60,30859,7423,601954,2020,8
2020-08-07,Manhattan,62,30921,7852,609806,2020,8
2020-08-08,Manhattan,43,30964,7178,616984,2020,8
2020-08-09,Manhattan,52,31016,6513,623497,2020,8
2020-08-10,Manhattan,55,31071,6639,630136,2020,8
2020-08-11,Manhattan,76,31147,11421,641557,2020,8
2020-08-12,Manhattan,70,31217,10009,651566,2020,8
2020-08-13,Manhattan,62,31279,9097,660663,2020,8
2020-08-14,Manhattan,63,31342,10048,670711,2020,8
2020-08-15,Manhattan,56,31398,8885,679596,2020,8
2020-08-16,Manhattan,43,31441,6499,686095,2020,8
2020-08-17,Manhattan,64,31505,6304,692399,2020,8
2020-08-18,Manhattan,36,31541,7227,699626,2020,8
2020-08-19,Manhattan,62,31603,8868,708494,2020,8
2020-08-20,Manhattan,58,31661,13086,721580,2020,8
2020-08-21,Manhattan,47,31708,10873,732453,2020,8
2020-08-22,Manhattan,44,31752,8758,741211,2020,8
2020-08-23,Manhattan,44,31796,7076,748287,2020,8
2020-08-24,Manhattan,41,31837,6310,754597,2020,8
2020-08-25,Manhattan,48,31885,6958,761555,2020,8
2020-08-26,Manhattan,50,31935,8610,770165,2020,8
2020-08-27,Manhattan,42,31977,10799,780964,2020,8
2020-08-28,Manhattan,36,32013,10387,791351,2020,8
2020-08-29,Manhattan,62,32075,12710,804061,2020,8
2020-08-30,Manhattan,44,32119,8524,812585,2020,8
2020-08-31,Manhattan,46,32165,8300,820885,2020,8
2020-09-01,Manhattan,53,32218,9626,830511,2020,9
2020-09-02,Manhattan,33,32251,10431,840942,2020,9
2020-09-03,Manhattan,59,32310,11922,852864,2020,9
2020-09-04,Manhattan,62,32372,11623,864487,2020,9
2020-09-05,Manhattan,54,32426,10016,874503,2020,9
2020-09-06,Manhattan,16,32442,5522,880025,2020,9
2020-09-07,Manhattan,19,32461,5232,885257,2020,9
2020-09-08,Manhattan,39,32500,6601,891858,2020,9
2020-09-09,Manhattan,51,32551,7682,899540,2020,9
2020-09-10,Manhattan,52,32603,10273,909813,2020,9
2020-09-11,Manhattan,40,32643,11620,921433,2020,9
2020-09-12,Manhattan,34,32677,7538,928971,2020,9
2020-09-13,Manhattan,51,32728,8093,937064,2020,9
2020-09-14,Manhattan,44,32772,6557,943621,2020,9
2020-09-15,Manhattan,63,32835,8840,952461,2020,9
2020-09-16,Manhattan,57,32892,8958,961419,2020,9
2020-09-17,Manhattan,46,32938,10383,971802,2020,9
2020-09-18,Manhattan,73,33011,11603,983405,2020,9
2020-09-19,Manhattan,59,33070,10763,994168,2020,9
2020-09-20,Manhattan,35,33105,7038,1001206,2020,9
2020-09-21,Manhattan,41,33146,8274,1009480,2020,9
2020-09-22,Manhattan,41,33187,6599,1016079,2020,9
2020-09-23,Manhattan,50,33237,8567,1024646,2020,9
2020-09-24,Manhattan,50,33287,9692,1034338,2020,9
2020-09-25,Manhattan,48,33335,10299,1044637,2020,9
2020-09-26,Manhattan,36,33371,9082,1053719,2020,9
2020-09-27,Manhattan,47,33418,5700,1059419,2020,9
2020-09-28,Manhattan,79,33497,10863,1070282,2020,9
2020-09-29,Manhattan,64,33561,11148,1081430,2020,9
2020-09-30,Manhattan,65,33626,9545,1090975,2020,9
2020-10-01,Manhattan,72,33698,10456,1101431,2020,10
2020-10-02,Manhattan,93,33791,13510,1114941,2020,10
2020-10-03,Manhattan,72,33863,10817,1125758,2020,10
2020-10-04,Manhattan,72,33935,10249,1136007,2020,10
2020-10-05,Manhattan,70,34005,9469,1145476,2020,10
2020-10-06,Manhattan,46,34051,8754,1154230,2020,10
2020-10-07,Manhattan,93,34144,12926,1167156,2020,10
2020-10-08,Manhattan,73,34217,14289,1181445,2020,10
2020-10-09,Manhattan,79,34296,13048,1194493,2020,10
2020-10-10,Manhattan,46,34342,11342,1205835,2020,10
2020-10-11,Manhattan,66,34408,10326,1216161,2020,10
2020-10-12,Manhattan,93,34501,10160,1226321,2020,10
2020-10-13,Manhattan,68,34569,9044,1235365,2020,10
2020-10-14,Manhattan,68,34637,12332,1247697,2020,10
2020-10-15,Manhattan,98,34735,13546,1261243,2020,10
2020-10-16,Manhattan,136,34871,18142,1279385,2020,10
2020-10-17,Manhattan,120,34991,18831,1298216,2020,10
2020-10-18,Manhattan,63,35054,8282,1306498,2020,10
2020-10-19,Manhattan,71,35125,7273,1313771,2020,10
2020-10-20,Manhattan,124,35249,13942,1327713,2020,10
2020-10-21,Manhattan,96,35345,11839,1339552,2020,10
2020-10-22,Manhattan,114,35459,13307,1352859,2020,10
2020-10-23,Manhattan,151,35610,15257,1368116,2020,10
2020-10-24,Manhattan,113,35723,12193,1380309,2020,10
2020-10-25,Manhattan,66,35789,7380,1387689,2020,10
2020-10-26,Manhattan,108,35897,9720,1397409,2020,10
2020-10-27,Manhattan,179,36076,13877,1411286,2020,10
2020-10-28,Manhattan,148,36224,20355,1431641,2020,10
2020-10-29,Manhattan,176,36400,15072,1446713,2020,10
2020-10-30,Manhattan,115,36515,14447,1461160,2020,10
2020-10-31,Manhattan,197,36712,22188,1483348,2020,10
2020-11-01,Manhattan,102,36814,11785,1495133,2020,11
2020-11-02,Manhattan,166,36980,15443,1510576,2020,11
2020-11-03,Manhattan,120,37100,13877,1524453,2020,11
2020-11-04,Manhattan,178,37278,15464,1539917,2020,11
2020-11-05,Manhattan,152,37430,15129,1555046,2020,11
2020-11-06,Manhattan,211,37641,16536,1571582,2020,11
2020-11-07,Manhattan,299,37940,17972,1589554,2020,11
2020-11-08,Manhattan,231,38171,11886,1601440,2020,11
2020-11-09,Manhattan,213,38384,11968,1613408,2020,11
2020-11-10,Manhattan,284,38668,14826,1628234,2020,11
2020-11-11,Manhattan,338,39006,17687,1645921,2020,11
2020-11-12,Manhattan,349,39355,20508,1666429,2020,11
2020-11-13,Manhattan,345,39700,18804,1685233,2020,11
2020-11-14,Manhattan,275,39975,16883,1702116,2020,11
2020-11-15,Manhattan,251,40226,15673,1717789,2020,11
2020-11-16,Manhattan,361,40587,15763,1733552,2020,11
2020-11-17,Manhattan,321,40908,14303,1747855,2020,11
2020-11-18,Manhattan,355,41263,19969,1767824,2020,11
2020-11-19,Manhattan,357,41620,20972,1788796,2020,11
2020-11-20,Manhattan,376,41996,18975,1807771,2020,11
2020-11-21,Manhattan,358,42354,25139,1832910,2020,11
2020-11-22,Manhattan,310,42664,21630,1854540,2020,11
2020-11-23,Manhattan,317,42981,18411,1872951,2020,11
2020-11-24,Manhattan,302,43283,19753,1892704,2020,11
2020-11-25,Manhattan,464,43747,30490,1923194,2020,11
2020-11-26,Manhattan,471,44218,28017,1951211,2020,11
2020-11-27,Manhattan,384,44602,17701,1968912,2020,11
2020-11-28,Manhattan,428,45030,15602,1984514,2020,11
2020-11-29,Manhattan,412,45442,13274,1997788,2020,11
2020-11-30,Manhattan,429,45871,14565,2012353,2020,11
2020-12-01,Manhattan,457,46328,18739,2031092,2020,12
2020-12-02,Manhattan,530,46858,20304,2051396,2020,12
2020-12-03,Manhattan,593,47451,20865,2072261,2020,12
2020-12-04,Manhattan,543,47994,23032,2095293,2020,12
2020-12-05,Manhattan,527,48521,25406,2120699,2020,12
2020-12-06,Manhattan,441,48962,17668,2138367,2020,12
2020-12-07,Manhattan,410,49372,14257,2152624,2020,12
2020-12-08,Manhattan,535,49907,20681,2173305,2020,12
2020-12-09,Manhattan,512,50419,19269,2192574,2020,12
2020-12-10,Manhattan,560,50979,22758,2215332,2020,12
2020-12-11,Manhattan,685,51664,26286,2241618,2020,12
2020-12-12,Manhattan,539,52203,22650,2264268,2020,12
2020-12-13,Manhattan,522,52725,17272,2281540,2020,12
2020-12-14,Manhattan,620,53345,18997,2300537,2020,12
2020-12-15,Manhattan,527,53872,15895,2316432,2020,12
2020-12-16,Manhattan,554,54426,20807,2337239,2020,12
2020-12-17,Manhattan,732,55158,29963,2367202,2020,12
2020-12-18,Manhattan,515,55673,19165,2386367,2020,12
2020-12-19,Manhattan,486,56159,23257,2409624,2020,12
2020-12-20,Manhattan,621,56780,19393,2429017,2020,12
2020-12-21,Manhattan,593,57373,17901,2446918,2020,12
2020-12-22,Manhattan,624,57997,23934,2470852,2020,12
2020-12-23,Manhattan,641,58638,25796,2496648,2020,12
2020-12-24,Manhattan,628,59266,25028,2521676,2020,12
2020-12-25,Manhattan,581,59847,22796,2544472,2020,12
2020-12-26,Manhattan,410,60257,10883,2555355,2020,12
2020-12-27,Manhattan,389,60646,10177,2565532,2020,12
2020-12-28,Manhattan,559,61205,15259,2580791,2020,12
2020-12-29,Manhattan,589,61794,14412,2595203,2020,12
2020-12-30,Manhattan,768,62562,21751,2616954,2020,12
2020-12-31,Manhattan,736,63298,22258,2639212,2020,12
2021-01-01,Manhattan,744,64042,19366,2658578,2021,1
2021-01-02,Manhattan,416,64458,10376,2668954,2021,1
2021-01-03,Manhattan,441,64899,11236,2680190,2021,1
2021-01-04,Manhattan,645,65544,13666,2693856,2021,1
2021-01-05,Manhattan,826,66370,17028,2710884,2021,1
2021-01-06,Manhattan,906,67276,23741,2734625,2021,1
2021-01-07,Manhattan,978,68254,26143,2760768,2021,1
2021-01-08,Manhattan,854,69108,27881,2788649,2021,1
2021-01-09,Manhattan,873,69981,28118,2816767,2021,1
2021-01-10,Manhattan,825,70806,22201,2838968,2021,1
2021-01-11,Manhattan,793,71599,17061,2856029,2021,1
2021-01-12,Manhattan,754,72353,16902,2872931,2021,1
2021-01-13,Manhattan,796,73149,22169,2895100,2021,1
2021-01-14,Manhattan,1066,74215,32603,2927703,2021,1
2021-01-15,Manhattan,997,75212,29886,2957589,2021,1
2021-01-16,Manhattan,870,76082,27827,2985416,2021,1
2021-01-17,Manhattan,671,76753,19218,3004634,2021,1
2021-01-18,Manhattan,688,77441,16539,3021173,2021,1
2021-01-19,Manhattan,722,78163,14336,3035509,2021,1
2021-01-20,Manhattan,717,78880,18234,3053743,2021,1
2021-01-21,Manhattan,932,79812,28980,3082723,2021,1
2021-01-22,Manhattan,856,80668,28276,3110999,2021,1
2021-01-23,Manhattan,814,81482,28900,3139899,2021,1
2021-01-24,Manhattan,916,82398,24684,3164583,2021,1
2021-01-25,Manhattan,850,83248,18151,3182734,2021,1
2021-01-26,Manhattan,686,83934,20554,3203288,2021,1
2021-01-27,Manhattan,923,84857,26040,3229328,2021,1
2021-01-28,Manhattan,883,85740,29001,3258329,2021,1
2021-01-29,Manhattan,903,86643,30440,3288769,2021,1
2021-01-30,Manhattan,776,87419,24445,3313214,2021,1
2021-01-31,Manhattan,632,88051,19838,3333052,2021,1
2021-02-01,Manhattan,567,88618,13091,3346143,2021,2
2021-02-02,Manhattan,381,88999,10959,3357102,2021,2
2021-02-03,Manhattan,508,89507,14765,3371867,2021,2
2021-02-04,Manhattan,688,90195,16496,3388363,2021,2
2021-02-05,Manhattan,872,91067,25765,3414128,2021,2
2021-02-06,Manhattan,826,91893,29701,3443829,2021,2
2021-02-07,Manhattan,656,92549,22439,3466268,2021,2
2021-02-08,Manhattan,555,93104,14620,3480888,2021,2
2021-02-09,Manhattan,531,93635,15697,3496585,2021,2
2021-02-10,Manhattan,689,94324,29504,3526089,2021,2
2021-02-11,Manhattan,645,94969,27346,3553435,2021,2
2021-02-12,Manhattan,764,95733,26599,3580034,2021,2
2021-02-13,Manhattan,689,96422,25380,3605414,2021,2
2021-02-14,Manhattan,516,96938,19306,3624720,2021,2
2021-02-15,Manhattan,517,97455,13207,3637927,2021,2
2021-02-16,Manhattan,422,97877,16332,3654259,2021,2
2021-02-17,Manhattan,532,98409,19479,3673738,2021,2
2021-02-18,Manhattan,785,99194,26028,3699766,2021,2
2021-02-19,Manhattan,699,99893,23897,3723663,2021,2
2021-02-20,Manhattan,540,100433,25071,3748734,2021,2
2021-02-21,Manhattan,547,100980,15921,3764655,2021,2
2021-02-22,Manhattan,519,101499,14566,3779221,2021,2
2021-02-23,Manhattan,456,101955,19444,3798665,2021,2
2021-02-24,Manhattan,711,102666,26102,3824767,2021,2
2021-02-25,Manhattan,723,103389,30870,3855637,2021,2
2021-02-26,Manhattan,693,104082,31224,3886861,2021,2
2021-02-27,Manhattan,647,104729,29296,3916157,2021,2
2021-02-28,Manhattan,566,105295,19262,3935419,2021,2
2021-03-01,Manhattan,419,105714,11190,3946609,2021,3
2021-03-02,Manhattan,644,106358,21218,3967827,2021,3
2021-03-03,Manhattan,624,106982,26828,3994655,2021,3
2021-03-04,Manhattan,805,107787,30981,4025636,2021,3
2021-03-05,Manhattan,721,108508,30399,4056035,2021,3
2021-03-06,Manhattan,544,109052,20887,4076922,2021,3
2021-03-07,Manhattan,418,109470,19098,4096020,2021,3
2021-03-08,Manhattan,562,110032,16594,4112614,2021,3
2021-03-09,Manhattan,575,110607,18349,4130963,2021,3
2021-03-10,Manhattan,563,111170,21993,4152956,2021,3
2021-03-11,Manhattan,808,111978,30333,4183289,2021,3
2021-03-12,Manhattan,522,112500,21329,4204618,2021,3
2021-03-13,Manhattan,524,113024,22492,4227110,2021,3
2021-03-14,Manhattan,458,113482,12151,4239261,2021,3
2021-03-15,Manhattan,389,113871,14301,4253562,2021,3
2021-03-16,Manhattan,834,114705,24715,4278277,2021,3
2021-03-17,Manhattan,661,115366,32196,4310473,2021,3
2021-03-18,Manhattan,690,116056,29754,4340227,2021,3
2021-03-19,Manhattan,657,116713,27758,4367985,2021,3
2021-03-20,Manhattan,672,117385,23551,4391536,2021,3
2021-03-21,Manhattan,519,117904,15157,4406693,2021,3
2021-03-22,Manhattan,451,118355,12680,4419373,2021,3
2021-03-23,Manhattan,631,118986,17375,4436748,2021,3
2021-03-24,Manhattan,595,119581,25901,4462649,2021,3
2021-03-25,Manhattan,649,120230,26648,4489297,2021,3
2021-03-26,Manhattan,662,120892,25258,4514555,2021,3
2021-03-27,Manhattan,760,121652,24724,4539279,2021,3
2021-03-28,Manhattan,619,122271,17705,4556984,2021,3
2021-03-29,Manhattan,488,122759,12858,4569842,2021,3
2021-03-30,Manhattan,604,123363,18437,4588279,2021,3
2021-03-31,Manhattan,657,124020,24514,4612793,2021,3
2021-04-01,Manhattan,636,124656,27072,4639865,2021,4
2021-04-02,Manhattan,603,125259,23011,4662876,2021,4
2021-04-03,Manhattan,592,125851,24384,4687260,2021,4
2021-04-04,Manhattan,465,126316,16263,4703523,2021,4
2021-04-05,Manhattan,370,126686,10706,4714229,2021,4
2021-04-06,Manhattan,527,127213,20306,4734535,2021,4
2021-04-07,Manhattan,604,127817,27589,4762124,2021,4
2021-04-08,Manhattan,666,128483,29351,4791475,2021,4
2021-04-09,Manhattan,530,129013,26594,4818069,2021,4
2021-04-10,Manhattan,475,129488,24480,4842549,2021,4
2021-04-11,Manhattan,293,129781,12820,4855369,2021,4
2021-04-12,Manhattan,274,130055,10902,4866271,2021,4
2021-04-13,Manhattan,329,130384,18271,4884542,2021,4
2021-04-14,Manhattan,403,130787,22079,4906621,2021,4
2021-04-15,Manhattan,541,131328,22409,4929030,2021,4
2021-04-16,Manhattan,567,131895,30977,4960007,2021,4
2021-04-17,Manhattan,401,132296,24448,4984455,2021,4
2021-04-18,Manhattan,255,132551,13841,4998296,2021,4
2021-04-19,Manhattan,209,132760,9389,5007685,2021,4
2021-04-20,Manhattan,282,133042,18474,5026159,2021,4
2021-04-21,Manhattan,264,133306,21520,5047679,2021,4
2021-04-22,Manhattan,288,133594,27008,5074687,2021,4
2021-04-23,Manhattan,224,133818,23233,5097920,2021,4
2021-04-24,Manhattan,252,134070,22796,5120716,2021,4
2021-04-25,Manhattan,130,134200,10912,5131628,2021,4
2021-04-26,Manhattan,160,134360,7483,5139111,2021,4
2021-04-27,Manhattan,181,134541,14492,5153603,2021,4
2021-04-28,Manhattan,210,134751,22826,5176429,2021,4
2021-04-29,Manhattan,205,134956,22907,5199336,2021,4
2021-04-30,Manhattan,237,135193,23962,5223298,2021,4
2021-05-01,Manhattan,173,135366,18920,5242218,2021,5
2021-05-02,Manhattan,101,135467,11222,5253440,2021,5
2021-05-03,Manhattan,92,135559,7834,5261274,2021,5
2021-05-04,Manhattan,120,135679,14786,5276060,2021,5
2021-05-05,Manhattan,158,135837,20532,5296592,2021,5
2021-05-06,Manhattan,119,135956,19835,5316427,2021,5
2021-05-07,Manhattan,193,136149,25750,5342177,2021,5
2021-05-08,Manhattan,104,136253,18984,5361161,2021,5
2021-05-09,Manhattan,77,136330,9946,5371107,2021,5
2021-05-10,Manhattan,69,136399,8347,5379454,2021,5
2021-05-11,Manhattan,108,136507,15621,5395075,2021,5
2021-05-12,Manhattan,93,136600,20020,5415095,2021,5
2021-05-13,Manhattan,124,136724,21658,5436753,2021,5
2021-05-14,Manhattan,104,136828,19617,5456370,2021,5
2021-05-15,Manhattan,93,136921,16183,5472553,2021,5
2021-05-16,Manhattan,56,136977,9964,5482517,2021,5
2021-05-17,Manhattan,42,137019,8464,5490981,2021,5
2021-05-18,Manhattan,60,137079,13375,5504356,2021,5
2021-05-19,Manhattan,92,137171,19593,5523949,2021,5
2021-05-20,Manhattan,67,137238,18463,5542412,2021,5
2021-05-21,Manhattan,74,137312,17632,5560044,2021,5
2021-05-22,Manhattan,67,137379,16424,5576468,2021,5
2021-05-23,Manhattan,45,137424,8585,5585053,2021,5
2021-05-24,Manhattan,27,137451,7849,5592902,2021,5
2021-05-25,Manhattan,45,137496,13747,5606649,2021,5
2021-05-26,Manhattan,65,137561,18262,5624911,2021,5
2021-05-27,Manhattan,57,137618,16996,5641907,2021,5
2021-05-28,Manhattan,58,137676,16042,5657949,2021,5
2021-05-29,Manhattan,34,137710,12986,5670935,2021,5
2021-05-30,Manhattan,32,137742,7011,5677946,2021,5
2021-05-31,Manhattan,24,137766,5100,5683046,2021,5
2021-06-01,Manhattan,20,137786,5654,5688700,2021,6
2021-06-02,Manhattan,32,137818,12597,5701297,2021,6
2021-06-03,Manhattan,68,137886,21422,5722719,2021,6
2021-06-04,Manhattan,43,137929,15631,5738350,2021,6
2021-06-05,Manhattan,34,137963,13220,5751570,2021,6
2021-06-06,Manhattan,27,137990,6919,5758489,2021,6
2021-06-07,Manhattan,37,138027,6967,5765456,2021,6
2021-06-08,Manhattan,33,138060,11529,5776985,2021,6
2021-06-09,Manhattan,32,138092,15597,5792582,2021,6
2021-06-10,Manhattan,35,138127,13322,5805904,2021,6
2021-06-11,Manhattan,50,138177,16486,5822390,2021,6
2021-06-12,Manhattan,35,138212,12137,5834527,2021,6
2021-06-13,Manhattan,32,138244,7069,5841596,2021,6
2021-06-14,Manhattan,28,138272,6203,5847799,2021,6
2021-06-15,Manhattan,27,138299,10236,5858035,2021,6
2021-06-16,Manhattan,38,138337,13698,5871733,2021,6
2021-06-17,Manhattan,30,138367,12336,5884069,2021,6
2021-06-18,Manhattan,37,138404,12426,5896495,2021,6
2021-06-19,Manhattan,25,138429,10839,5907334,2021,6
2021-06-20,Manhattan,21,138450,6404,5913738,2021,6
2021-06-21,Manhattan,21,138471,5956,5919694,2021,6
2021-06-22,Manhattan,27,138498,10162,5929856,2021,6
2021-06-23,Manhattan,30,138528,13438,5943294,2021,6
2021-06-24,Manhattan,38,138566,12737,5956031,2021,6
2021-06-25,Manhattan,43,138609,11822,5967853,2021,6
2021-06-26,Manhattan,40,138649,10285,5978138,2021,6
2021-06-27,Manhattan,25,138674,5751,5983889,2021,6
2021-06-28,Manhattan,24,138698,6112,5990001,2021,6
2021-06-29,Manhattan,44,138742,9851,5999852,2021,6
2021-06-30,Manhattan,31,138773,10772,6010624,2021,6
2021-07-01,Manhattan,68,138841,10444,6021068,2021,7
2021-07-02,Manhattan,34,138875,9886,6030954,2021,7
2021-07-03,Manhattan,71,138946,9107,6040061,2021,7
2021-07-04,Manhattan,54,139000,5171,6045232,2021,7
2021-07-05,Manhattan,22,139022,3528,6048760,2021,7
2021-07-06,Manhattan,47,139069,5403,6054163,2021,7
2021-07-07,Manhattan,91,139160,14600,6068763,2021,7
2021-07-08,Manhattan,74,139234,11558,6080321,2021,7
2021-07-09,Manhattan,86,139320,10584,6090905,2021,7
2021-07-10,Manhattan,88,139408,8859,6099764,2021,7
2021-07-11,Manhattan,76,139484,5798,6105562,2021,7
2021-07-12,Manhattan,60,139544,6347,6111909,2021,7
2021-07-13,Manhattan,87,139631,10940,6122849,2021,7
2021-07-14,Manhattan,107,139738,11249,6134098,2021,7
2021-07-15,Manhattan,137,139875,11682,6145780,2021,7
2021-07-16,Manhattan,187,140062,13239,6159019,2021,7
2021-07-17,Manhattan,158,140220,9993,6169012,2021,7
2021-07-18,Manhattan,94,140314,6141,6175153,2021,7
2021-07-19,Manhattan,120,140434,9364,6184517,2021,7
2021-07-20,Manhattan,196,140630,12383,6196900,2021,7
2021-07-21,Manhattan,225,140855,13798,6210698,2021,7
2021-07-22,Manhattan,233,141088,16373,6227071,2021,7
2021-07-23,Manhattan,279,141367,15185,6242256,2021,7
2021-07-24,Manhattan,214,141581,12056,6254312,2021,7
2021-07-25,Manhattan,177,141758,7177,6261489,2021,7
2021-07-26,Manhattan,178,141936,9462,6270951,2021,7
2021-07-27,Manhattan,253,142189,11925,6282876,2021,7
2021-07-28,Manhattan,286,142475,14403,6297279,2021,7
2021-07-29,Manhattan,269,142744,15520,6312799,2021,7
2021-07-30,Manhattan,332,143076,18101,6330900,2021,7
2021-07-31,Manhattan,256,143332,12409,6343309,2021,7
2021-08-01,Manhattan,233,143565,9259,6352568,2021,8
2021-08-02,Manhattan,265,143830,10504,6363072,2021,8
2021-08-03,Manhattan,320,144150,18044,6381116,2021,8
2021-08-04,Manhattan,437,144587,18404,6399520,2021,8
2021-08-05,Manhattan,389,144976,18729,6418249,2021,8
2021-08-06,Manhattan,373,145349,18279,6436528,2021,8
2021-08-07,Manhattan,335,145684,15423,6451951,2021,8
2021-08-08,Manhattan,385,146069,15797,6467748,2021,8
2021-08-09,Manhattan,250,146319,12764,6480512,2021,8
2021-08-10,Manhattan,339,146658,16479,6496991,2021,8
2021-08-11,Manhattan,415,147073,19412,6516403,2021,8
2021-08-12,Manhattan,380,147453,18130,6534533,2021,8
2021-08-13,Manhattan,446,147899,23697,6558230,2021,8
2021-08-14,Manhattan,687,148586,38276,6596506,2021,8
2021-08-15,Manhattan,337,148923,12330,6608836,2021,8
2021-08-16,Manhattan,274,149197,10833,6619669,2021,8
2021-08-17,Manhattan,433,149630,20346,6640015,2021,8
2021-08-18,Manhattan,416,150046,22318,6662333,2021,8
2021-08-19,Manhattan,394,150440,20440,6682773,2021,8
2021-08-20,Manhattan,385,150825,20641,6703414,2021,8
2021-08-21,Manhattan,375,151200,18401,6721815,2021,8
2021-08-22,Manhattan,267,151467,12373,6734188,2021,8
2021-08-23,Manhattan,254,151721,12701,6746889,2021,8
2021-08-24,Manhattan,386,152107,18463,6765352,2021,8
2021-08-25,Manhattan,405,152512,19665,6785017,2021,8
2021-08-26,Manhattan,441,152953,21482,6806499,2021,8
2021-08-27,Manhattan,436,153389,21382,6827881,2021,8
2021-08-28,Manhattan,311,153700,20976,6848857,2021,8
2021-08-29,Manhattan,262,153962,12947,6861804,2021,8
2021-08-30,Manhattan,274,154236,11031,6872835,2021,8
2021-08-31,Manhattan,318,154554,16733,6889568,2021,8
2021-09-01,Manhattan,322,154876,20951,6910519,2021,9
2021-09-02,Manhattan,460,155336,21966,6932485,2021,9
2021-09-03,Manhattan,302,155638,18970,6951455,2021,9
2021-09-04,Manhattan,320,155958,20604,6972059,2021,9
2021-09-05,Manhattan,225,156183,13300,6985359,2021,9
2021-09-06,Manhattan,156,156339,11636,6996995,2021,9
2021-09-07,Manhattan,244,156583,14775,7011770,2021,9
2021-09-08,Manhattan,342,156925,24709,7036479,2021,9
2021-09-09,Manhattan,452,157377,27821,7064300,2021,9
2021-09-10,Manhattan,508,157885,32934,7097234,2021,9
2021-09-11,Manhattan,370,158255,25209,7122443,2021,9
2021-09-12,Manhattan,282,158537,14053,7136496,2021,9
2021-09-13,Manhattan,255,158792,15477,7151973,2021,9
2021-09-14,Manhattan,285,159077,21080,7173053,2021,9
2021-09-15,Manhattan,456,159533,27062,7200115,2021,9
2021-09-16,Manhattan,386,159919,28442,7228557,2021,9
2021-09-17,Manhattan,473,160392,30048,7258605,2021,9
2021-09-18,Manhattan,382,160774,26077,7284682,2021,9
2021-09-19,Manhattan,232,161006,14506,7299188,2021,9
2021-09-20,Manhattan,285,161291,16937,7316125,2021,9
2021-09-21,Manhattan,296,161587,22919,7339044,2021,9
2021-09-22,Manhattan,335,161922,27898,7366942,2021,9
2021-09-23,Manhattan,328,162250,27309,7394251,2021,9
2021-09-24,Manhattan,298,162548,24149,7418400,2021,9
2021-09-25,Manhattan,262,162810,23771,7442171,2021,9
2021-09-26,Manhattan,207,163017,17347,7459518,2021,9
2021-09-27,Manhattan,251,163268,15506,7475024,2021,9
2021-09-28,Manhattan,259,163527,22666,7497690,2021,9
2021-09-29,Manhattan,258,163785,30525,7528215,2021,9
2021-09-30,Manhattan,259,164044,26240,7554455,2021,9
2021-10-01,Manhattan,268,164312,26894,7581349,2021,10
2021-10-02,Manhattan,195,164507,22367,7603716,2021,10
2021-10-03,Manhattan,213,164720,15391,7619107,2021,10
2021-10-04,Manhattan,204,164924,17305,7636412,2021,10
2021-10-05,Manhattan,213,165137,19857,7656269,2021,10
2021-10-06,Manhattan,268,165405,29674,7685943,2021,10
2021-10-07,Manhattan,247,165652,28683,7714626,2021,10
2021-10-08,Manhattan,231,165883,26010,7740636,2021,10
2021-10-09,Manhattan,130,166013,11487,7752123,2021,10
2021-10-10,Manhattan,240,166253,26134,7778257,2021,10
2021-10-11,Manhattan,160,166413,13216,7791473,2021,10
2021-10-12,Manhattan,173,166586,18792,7810265,2021,10
2021-10-13,Manhattan,211,166797,24883,7835148,2021,10
2021-10-14,Manhattan,261,167058,28529,7863677,2021,10
2021-10-15,Manhattan,250,167308,26539,7890216,2021,10
2021-10-16,Manhattan,184,167492,24756,7914972,2021,10
2021-10-17,Manhattan,101,167593,14570,7929542,2021,10
2021-10-18,Manhattan,174,167767,15814,7945356,2021,10
2021-10-19,Manhattan,152,167919,21469,7966825,2021,10
2021-10-20,Manhattan,188,168107,27632,7994457,2021,10
2021-10-21,Manhattan,132,168239,27068,8021525,2021,10
2021-10-22,Manhattan,166,168405,23654,8045179,2021,10
2021-10-23,Manhattan,143,168548,23500,8068679,2021,10
2021-10-24,Manhattan,155,168703,14447,8083126,2021,10
