Borough,year,month,Refuse,Paper,MGP
Brooklyn,2020,3,2539.6,317.9,322.1
Brooklyn,2020,4,2396.8,286.2,324.9
Brooklyn,2021,11,660.6,75.9,66.4
Bronx,2020,7,2411.0,166.2,182.3
Bronx,2020,8,2430.6,164.8,182.7
Bronx,2021,8,2298.3,166.8,177.0
Brooklyn,2020,6,2596.3,142.4,217.4
Brooklyn,2020,3,2027.0,93.8,151.8
Brooklyn,2020,11,2382.1,112.0,185.7
Brooklyn,2020,12,2449.0,162.5,222.0
Brooklyn,2021,10,2460.3,116.2,170.2
Brooklyn,2021,8,2596.7,114.8,170.2
Bronx,2020,2,1346.8,92.5,138.4
Bronx,2020,9,1693.1,128.6,165.3
Bronx,2021,5,1588.2,119.1,153.8
Bronx,2021,8,1677.2,111.7,149.6
Bronx,2021,9,1681.6,143.5,175.1
Manhattan,2020,2,4253.6,1017.3,758.6
Manhattan,2020,11,4425.6,953.8,728.4
Manhattan,2021,10,4701.3,1104.2,745.1
Manhattan,2020,1,2857.0,381.9,365.6
Manhattan,2020,12,2773.5,389.9,354.4
Manhattan,2021,7,2945.5,412.4,325.5
Manhattan,2020,2,1717.3,412.4,310.0
Manhattan,2021,5,1859.0,450.8,315.5
Manhattan,2021,9,1980.7,498.6,306.8
Bronx,2020,1,3877.7,236.8,388.0
Bronx,2021,2,3618.8,247.9,317.5
Brooklyn,2020,7,5147.7,755.8,663.2
Brooklyn,2020,2,5065.6,605.8,451.6
Brooklyn,2020,12,4404.9,561.3,503.1
Brooklyn,2021,6,4934.2,542.3,484.6
Manhattan,2020,3,4534.5,421.5,502.1
Manhattan,2021,5,4586.6,463.9,501.9
Manhattan,2021,8,4904.7,450.4,485.4
Manhattan,2020,1,1285.2,298.7,201.0
Manhattan,2020,10,1269.2,298.9,186.5
Manhattan,2020,4,900.2,198.8,176.8
Manhattan,2021,7,1281.4,290.9,168.0
Manhattan,2021,6,1315.1,319.8,190.9
Manhattan,2021,3,4723.3,1059.9,776.1
Manhattan,2020,12,4829.9,1259.0,871.1
Bronx,2021,7,3776.0,294.1,406.4
Manhattan,2020,9,2793.8,515.8,391.2
Manhattan,2020,6,2637.9,426.8,387.5
Manhattan,2020,5,2345.4,454.8,442.6
Manhattan,2021,8,2741.8,522.6,345.6
Manhattan,2020,10,2300.3,318.0,315.6
Manhattan,2020,6,2331.2,259.9,290.4
Manhattan,2021,6,2368.9,261.4,261.9
Brooklyn,2021,2,2610.5,236.5,229.6
Manhattan,2020,7,2457.2,252.1,230.8
Manhattan,2021,2,1920.2,198.2,180.9
Manhattan,2021,1,2204.5,222.1,208.7
Manhattan,2020,11,2195.4,209.5,189.4
Manhattan,2021,7,2448.6,221.7,190.8
Manhattan,2021,10,2336.8,218.6,185.5
Bronx,2021,10,3794.4,327.5,546.8
Manhattan,2020,7,2449.5,494.5,446.4
Manhattan,2021,3,2308.8,454.0,384.5
Manhattan,2021,5,2251.4,505.3,385.3
Manhattan,2021,10,2494.0,558.0,400.4
Manhattan,2020,4,924.0,266.3,241.2
Manhattan,2020,7,1175.9,327.2,251.1
Manhattan,2020,3,1311.2,377.9,251.6
Brooklyn,2020,8,3802.3,355.7,488.0
Brooklyn,2021,8,3731.7,314.2,386.9
Brooklyn,2021,9,3857.2,337.2,408.3
Brooklyn,2021,11,840.5,68.5,83.2
Bronx,2020,12,2281.5,225.5,259.8
Bronx,2020,9,2477.3,272.6,300.4
Bronx,2021,5,2321.7,206.4,231.1
Bronx,2021,10,2453.9,150.9,204.1
Brooklyn,2020,6,3695.2,482.4,508.1
Brooklyn,2021,4,3111.9,367.9,381.0
Staten,2020,6,7161.8,857.2,980.5
Staten,2020,4,6130.2,812.2,905.4
Brooklyn,2020,5,5251.3,607.5,614.6
Brooklyn,2021,7,5572.8,617.9,562.5
Brooklyn,2021,4,4788.7,537.7,531.8
Queens,2020,7,5568.4,648.2,1045.9
Brooklyn,2020,6,6653.2,662.1,842.6
Brooklyn,2020,3,4845.4,526.4,609.2
Queens,2020,2,4030.4,346.9,719.6
Queens,2020,8,6938.3,540.5,1016.6
Bronx,2020,10,4119.7,296.4,446.5
Bronx,2021,6,4345.4,276.2,428.2
Bronx,2020,12,3935.6,315.2,458.2
Bronx,2021,1,3688.7,271.7,410.4
Staten,2020,7,6389.2,704.0,986.8
Staten,2020,10,6093.6,646.1,884.2
Staten,2021,4,5287.8,589.6,734.9
Bronx,2021,2,2034.4,267.2,344.3
Bronx,2021,3,2779.9,323.4,413.2
Bronx,2020,11,2911.9,293.7,402.2
Bronx,2021,5,2847.4,327.8,423.4
Queens,2020,10,7619.4,583.4,1016.4
Queens,2021,6,4460.3,684.6,684.9
Queens,2021,5,4072.9,593.0,631.0
Brooklyn,2020,3,4318.7,587.3,535.1
Brooklyn,2020,6,4932.7,598.7,627.6
Brooklyn,2021,3,4853.2,587.0,575.5
Brooklyn,2021,2,3847.7,484.2,456.6
Brooklyn,2020,2,3924.1,508.9,443.7
Brooklyn,2021,9,5034.9,547.6,524.5
Queens,2021,1,3794.8,445.9,625.0
Queens,2020,5,4571.6,436.0,679.9
Queens,2021,2,3189.2,345.9,493.1
Brooklyn,2020,9,5488.9,334.7,546.5
Brooklyn,2021,2,1827.9,491.2,390.2
Brooklyn,2020,3,1999.5,555.9,453.8
Brooklyn,2021,10,2370.3,563.4,406.2
Queens,2020,2,4172.5,315.1,435.8
Queens,2020,7,6005.3,487.1,712.3
Queens,2021,9,5449.2,421.9,530.5
Staten,2020,7,4921.8,602.7,789.1
Staten,2020,6,5191.9,613.6,830.1
Staten,2020,3,4014.9,545.9,534.3
Staten,2020,12,4435.9,733.9,653.6
Brooklyn,2021,4,4442.5,442.1,404.4
Brooklyn,2021,9,5138.5,475.5,436.8
Brooklyn,2021,9,2216.0,190.3,242.6
Queens,2020,11,3195.6,428.7,422.5
Queens,2020,5,4287.1,356.5,536.6
Queens,2020,2,3553.1,284.3,384.5
Brooklyn,2020,1,6084.9,693.1,454.2
Brooklyn,2021,3,6947.9,739.4,432.8
Queens,2020,1,3409.9,386.4,506.1
Queens,2021,6,4743.0,407.8,651.9
Queens,2020,7,3850.1,319.2,399.6
Queens,2020,3,2763.7,248.9,266.3
Queens,2021,2,2480.8,211.7,211.8
Queens,2021,7,3735.9,294.4,335.1
Queens,2021,3,3227.1,257.6,296.9
Brooklyn,2020,9,2752.9,556.9,455.2
Brooklyn,2020,8,2676.6,484.3,445.4
Brooklyn,2020,3,2372.5,514.1,440.0
Brooklyn,2021,10,2701.8,538.2,396.5
Brooklyn,2021,9,2674.5,593.0,416.9
Brooklyn,2021,11,629.1,119.5,93.8
Bronx,2020,2,2523.2,238.7,326.0
Bronx,2020,4,2906.4,278.0,420.6
Queens,2021,6,3598.2,495.9,493.5
Queens,2021,9,3656.3,521.0,483.8
Queens,2021,6,4328.0,474.0,437.1
Queens,2021,8,4110.8,439.1,396.7
Queens,2021,9,4241.4,487.3,430.6
Brooklyn,2021,1,3350.3,510.8,532.5
Brooklyn,2020,12,3688.1,617.9,578.3
Brooklyn,2020,3,3143.7,494.2,493.8
Brooklyn,2021,10,3766.7,447.9,411.1
Brooklyn,2020,2,3646.5,258.6,382.4
Queens,2020,1,2749.6,459.8,414.8
Bronx,2020,8,2639.6,351.9,419.7
Bronx,2021,2,2027.3,299.2,360.3
Bronx,2021,7,2536.2,338.1,375.3
Bronx,2021,3,2507.8,362.3,425.6
Bronx,2021,8,2411.5,324.0,388.5
Brooklyn,2021,3,2915.0,382.6,364.8
Brooklyn,2020,1,2583.3,306.6,303.5
Brooklyn,2021,10,2787.6,320.1,275.0
